From,To,Distance_km,From_latlon,To_latlon
MM HOANG MAI,MM THANG LONG,12.8,"20.96410, 105.85900","21.05450, 105.78230"
MM HOANG MAI,MM THANH XUAN,4.0,"20.96410, 105.85900","20.99585, 105.84034"
MM HOANG MAI,MM VINH,256.4,"20.96410, 105.85900","18.66290, 105.70407"
MM HOANG MAI,MM VUNG TAU,1187.9,"20.96410, 105.85900","10.34599, 107.08426"
MM HONG BANG,South Ambient DC,1108.3,"20.86481, 106.68345","10.89750, 106.75110"
MM HONG BANG,MM AN PHU,1120.1,"20.86481, 106.68345","10.79142, 106.74578"
MM HONG BANG,MM BIEN HOA,1101.9,"20.86481, 106.68345","10.95592, 106.81199"
MM HONG BANG,MM BINH DUONG,1099.1,"20.86481, 106.68345","10.98040, 106.65190"
MM HONG BANG,MM BINH PHU,1125.2,"20.86481, 106.68345","10.74533, 106.63228"
MM HONG BANG,MM BUON MA THUOT,920.1,"20.86481, 106.68345","12.69771, 108.07174"
MM HONG BANG,MM DA NANG,557.5,"20.86481, 106.68345","16.06778, 108.22083"
MM HONG BANG,MM HA DONG,95.1,"20.86481, 106.68345","20.96653, 105.77482"
MM HONG BANG,MM HA LONG,50.0,"20.86481, 106.68345","20.95880, 107.15422"
MM HONG BANG,MM HIEP PHU,1111.7,"20.86481, 106.68345","10.86690, 106.64185"
MM HONG BANG,MM HOANG MAI,86.3,"20.86481, 106.68345","20.96410, 105.85900"
MM HONG BANG,MM HONG BANG,0.0,"20.86481, 106.68345","20.86481, 106.68345"
MM HONG BANG,MM HUNG LOI,1210.2,"20.86481, 106.68345","10.01717, 105.76537"
MM HONG BANG,MM LONG XUYEN,1174.4,"20.86481, 106.68345","10.37043, 105.44585"
MM HONG BANG,MM NHA TRANG,991.9,"20.86481, 106.68345","12.25744, 109.13105"
MM HONG BANG,MM QUY NHON,835.9,"20.86481, 106.68345","13.74464, 109.21225"
MM HONG BANG,MM RACH GIA,1218.8,"20.86481, 106.68345","10.01250, 105.08090"
MM HONG BANG,MM THANG LONG,95.9,"20.86481, 106.68345","21.05450, 105.78230"
MM HONG BANG,MM THANH XUAN,88.8,"20.86481, 106.68345","20.99585, 105.84034"
MM HONG BANG,MM VINH,265.4,"20.86481, 106.68345","18.66290, 105.70407"
MM HONG BANG,MM VUNG TAU,1170.4,"20.86481, 106.68345","10.34599, 107.08426"
MM HUNG LOI,South Ambient DC,145.6,"10.01717, 105.76537","10.89750, 106.75110"
MM HUNG LOI,MM AN PHU,137.5,"10.01717, 105.76537","10.79142, 106.74578"
MM HUNG LOI,MM BIEN HOA,154.9,"10.01717, 105.76537","10.95592, 106.81199"
MM HUNG LOI,MM BINH DUONG,144.5,"10.01717, 105.76537","10.98040, 106.65190"
MM HUNG LOI,MM BINH PHU,124.7,"10.01717, 105.76537","10.74533, 106.63228"
MM HUNG LOI,MM BUON MA THUOT,389.9,"10.01717, 105.76537","12.69771, 108.07174"
MM HUNG LOI,MM DA NANG,723.4,"10.01717, 105.76537","16.06778, 108.22083"
MM HUNG LOI,MM HA DONG,1217.5,"10.01717, 105.76537","20.96653, 105.77482"
MM HUNG LOI,MM HA LONG,1225.7,"10.01717, 105.76537","20.95880, 107.15422"
MM HUNG LOI,MM HIEP PHU,134.6,"10.01717, 105.76537","10.86690, 106.64185"
MM HUNG LOI,MM HOANG MAI,1217.3,"10.01717, 105.76537","20.96410, 105.85900"
MM HUNG LOI,MM HONG BANG,1210.2,"10.01717, 105.76537","20.86481, 106.68345"
MM HUNG LOI,MM HUNG LOI,0.0,"10.01717, 105.76537","10.01717, 105.76537"
MM HUNG LOI,MM LONG XUYEN,52.6,"10.01717, 105.76537","10.37043, 105.44585"
MM HUNG LOI,MM NHA TRANG,443.7,"10.01717, 105.76537","12.25744, 109.13105"
MM HUNG LOI,MM QUY NHON,558.9,"10.01717, 105.76537","13.74464, 109.21225"
MM HUNG LOI,MM RACH GIA,75.0,"10.01717, 105.76537","10.01250, 105.08090"
MM HUNG LOI,MM THANG LONG,1227.3,"10.01717, 105.76537","21.05450, 105.78230"
MM HUNG LOI,MM THANH XUAN,1220.8,"10.01717, 105.76537","20.99585, 105.84034"
MM HUNG LOI,MM VINH,961.4,"10.01717, 105.76537","18.66290, 105.70407"
MM HUNG LOI,MM VUNG TAU,148.9,"10.01717, 105.76537","10.34599, 107.08426"
MM LONG XUYEN,South Ambient DC,154.2,"10.37043, 105.44585","10.89750, 106.75110"
MM LONG XUYEN,MM AN PHU,149.6,"10.37043, 105.44585","10.79142, 106.74578"
MM LONG XUYEN,MM BIEN HOA,162.9,"10.37043, 105.44585","10.95592, 106.81199"
MM LONG XUYEN,MM BINH DUONG,148.2,"10.37043, 105.44585","10.98040, 106.65190"
MM LONG XUYEN,MM BINH PHU,136.2,"10.37043, 105.44585","10.74533, 106.63228"
MM LONG XUYEN,MM BUON MA THUOT,385.7,"10.37043, 105.44585","12.69771, 108.07174"
MM LONG XUYEN,MM DA NANG,701.1,"10.37043, 105.44585","16.06778, 108.22083"
MM LONG XUYEN,MM HA DONG,1178.8,"10.37043, 105.44585","20.96653, 105.77482"
MM LONG XUYEN,MM HA LONG,1191.4,"10.37043, 105.44585","20.95880, 107.15422"
MM LONG XUYEN,MM HIEP PHU,141.9,"10.37043, 105.44585","10.86690, 106.64185"
MM LONG XUYEN,MM HOANG MAI,1178.8,"10.37043, 105.44585","20.96410, 105.85900"
MM LONG XUYEN,MM HONG BANG,1174.4,"10.37043, 105.44585","20.86481, 106.68345"
MM LONG XUYEN,MM HUNG LOI,52.6,"10.37043, 105.44585","10.01717, 105.76537"
MM LONG XUYEN,MM LONG XUYEN,0.0,"10.37043, 105.44585","10.37043, 105.44585"
MM LONG XUYEN,MM NHA TRANG,453.3,"10.37043, 105.44585","12.25744, 109.13105"
MM LONG XUYEN,MM QUY NHON,555.4,"10.37043, 105.44585","13.74464, 109.21225"
MM LONG XUYEN,MM RACH GIA,56.4,"10.37043, 105.44585","10.01250, 105.08090"
MM LONG XUYEN,MM THANG LONG,1188.6,"10.37043, 105.44585","21.05450, 105.78230"
MM LONG XUYEN,MM THANH XUAN,1182.2,"10.37043, 105.44585","20.99585, 105.84034"
MM LONG XUYEN,MM VINH,922.5,"10.37043, 105.44585","18.66290, 105.70407"
MM LONG XUYEN,MM VUNG TAU,179.2,"10.37043, 105.44585","10.34599, 107.08426"
MM NHA TRANG,South Ambient DC,300.1,"12.25744, 109.13105","10.89750, 106.75110"
MM NHA TRANG,MM AN PHU,306.8,"12.25744, 109.13105","10.79142, 106.74578"
