variant,run_label,source_instance,dataset_id,scenario_id,seed,benchmark_mode,rmp_objective,realized_cost_no_lt,realized_cost_with_lt,final_objective_or_total_cost,lt_cost_with_lt,shortage_cost_with_lt,cg_iterations,stopping_reason,total_runtime_seconds,variant_runtime_seconds,shared_baseline_runtime_seconds,total_runtime_with_shared_baseline_seconds,phase1_baseline_runtime_seconds,phase2_cg_runtime_seconds,gnn_inference_runtime_seconds,post_run_fine_tune_runtime_seconds,columns_generated,columns_selected_by_gnn,columns_added_to_rmp,column_pool_utilization,gnn_scoring_failures,repeat,shock_world_id,window_id,shock_seed,window_start_period,window_end_period,window_n_periods,baseline_cache_path,cached_baseline_runtime_seconds,a0_exact_pricing_time_limit
A0_cg_full_exact,A0_cg_full_exact__shock05_window03,,,shock05_window03,40070,sliced_cg_only_cached_baseline,2441474071.69342,259229487.244,223214921.420209,223214921.420209,8908.592209,10269008.8,43,convergence_no_negative_rc,5.426224606999767,5.426224606999767,0.0,5.426224606999767,691.1348897149999,0.023759841918945312,0.0,0.0,277,277,277,0.6103500761035008,0,43,5,3,40070,39,57,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock05_window04,,,shock05_window04,40070,sliced_cg_only_cached_baseline,2440753668.0441294,245917219.416,213808360.022002,213808360.022002,9047.270002,1680325.4,44,convergence_no_negative_rc,4.44154950400025,4.44154950400025,0.0,4.44154950400025,691.1348897149999,0.015215873718261719,0.0,0.0,257,257,253,0.6410256410256411,0,44,5,4,40070,58,76,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock05_window05,,,shock05_window05,40070,sliced_cg_only_cached_baseline,2463077849.3941007,310240736.94,251719120.456113,251719120.456113,12512.668113,39569301.8,43,convergence_no_negative_rc,5.764458230999935,5.764458230999935,0.0,5.764458230999935,691.1348897149999,0.029041290283203125,0.0,0.0,363,363,363,0.6181384248210023,0,45,5,5,40070,77,95,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock05_window06,,,shock05_window06,40070,sliced_cg_only_cached_baseline,2434044401.0881677,256199004.044,213104459.869517,213104459.869517,9957.433517,2778641.8,43,convergence_no_negative_rc,5.485628433999864,5.485628433999864,0.0,5.485628433999864,691.1348897149999,0.02540111541748047,0.0,0.0,425,425,314,0.6286438529784537,0,46,5,6,40070,96,114,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock05_window07,,,shock05_window07,40070,sliced_cg_only_cached_baseline,2432619489.973254,276866058.16,221916958.091284,221916958.091284,12757.075284,12008764.0,43,convergence_no_negative_rc,5.604950153000118,5.604950153000118,0.0,5.604950153000118,691.1348897149999,0.028758764266967773,0.0,0.0,357,357,357,0.6237980769230769,0,47,5,7,40070,115,133,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock05_window08,,,shock05_window08,40070,sliced_cg_only_cached_baseline,2417708207.0208216,267579677.824,213508256.663019,213508256.663019,13594.279019,2406923.6,43,convergence_no_negative_rc,5.032315166999979,5.032315166999979,0.0,5.032315166999979,691.1348897149999,0.0242311954498291,0.0,0.0,363,363,363,0.6766109785202864,0,48,5,8,40070,134,152,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock05_window09,,,shock05_window09,40070,sliced_cg_only_cached_baseline,2397636171.16423,309647046.096,222664145.295068,222664145.295068,19537.551068,10095656.8,44,convergence_no_negative_rc,5.897234941000079,5.897234941000079,0.0,5.897234941000079,691.1348897149999,0.0361628532409668,0.0,0.0,498,498,412,0.6696730552423901,0,49,5,9,40070,153,171,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock05_window10,,,shock05_window10,40070,sliced_cg_only_cached_baseline,2452889223.904529,131504907.552,111160870.02905,111160870.02905,4862.07705,487307.0,42,convergence_no_negative_rc,2.4599250719998054,2.4599250719998054,0.0,2.4599250719998054,691.1348897149999,0.008877038955688477,0.0,0.0,197,197,152,0.5621890547263682,0,50,5,10,40070,172,181,10,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A_classical_cg,A_classical_cg__shock01_window01,,,shock01_window01,42,sliced_cg_only_cached_baseline,2462166365.104738,234339404.0048,221614552.209538,221614552.209538,4100.220738,880749.4,45,convergence_no_negative_rc,3.9839004949999435,3.9839004949999435,0.0,3.9839004949999435,691.1348897149999,0.013788938522338867,0.0,0.0,244,244,240,0.45663716814159294,0,1,1,1,42,1,19,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A_classical_cg,A_classical_cg__shock01_window02,,,shock01_window02,42,sliced_cg_only_cached_baseline,2443298164.730472,252814405.08,218488576.391676,218488576.391676,8335.815676,3406114.6,45,convergence_no_negative_rc,4.820720742999811,4.820720742999811,0.0,4.820720742999811,691.1348897149999,0.013593912124633789,0.0,0.0,402,402,401,0.5633802816901409,0,2,1,2,42,20,38,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
