store,sku,period,predicted_end_qty
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,12,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,13,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,14,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,15,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,16,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,17,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,18,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,19,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,20,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,21,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,22,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,23,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,24,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,25,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,26,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,27,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,28,3.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,29,3.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,30,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,31,30.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,32,13.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,33,6.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,34,2.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,35,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,36,18.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,37,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,38,12.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,39,1.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,40,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,41,14.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,42,7.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,43,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,44,28.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,45,14.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,46,0.0
